state_fips,state_abbr,state_name,region,division,pop_2024,traffic_fatalities_2024,impaired_fatalities_fars_raw,alcohol_fatalities_nhtsa_imputed,total_fatalities_nhtsa,pct_impaired_fars_raw,pct_alcohol_nhtsa_imputed,high_bac_fatalities_2024,pct_high_bac_2024,total_fatality_rate_per_100k,alcohol_fatality_rate_per_100k,pct_bac_known_killed,pct_bac_known_all_drivers,pct_bac_known_surviving,pct_blood_test,mandatory_testing_law,testing_scope,testing_authority,checkpoints_permitted,no_refusal_status,no_refusal_active,pbt_authorized,iid_mandate,iid_all_offender,felony_dui_threshold,has_felony_dui,lookback_years,high_bac_threshold,has_high_bac_penalty,open_container_compliant,allows_oral_fluid,als_alr_enacted,testing_methods,criminal_refusal_penalty,bac_limit,first_offense_felony,vehicle_impound_law,impound_trigger,impound_mandatory,vehicle_forfeiture_law,forfeiture_trigger,plate_impound_law,has_mandatory_impound
17,IL,Illinois,Midwest,East North Central,12710158,1177,102,338,1177,8.67,29,236,20,9.26,2.66,70.3,46.9,29.3,58.7,no,probable_cause,law_enforcement,1,active,1,1,mandatory_all,1,3.0,1,99,0.16,1,1,0,1,"Blood, Urine, and Breath",1,0.08,0.0,yes,repeat_or_suspended,discretionary,yes,statutory_summary_suspension,no,0
18,IN,Indiana,Midwest,East North Central,6924275,832,122,209,832,14.66,25,148,18,12.02,3.02,61.3,66.3,70.4,74.5,yes,all_fatally_injured,coroner,1,authorized,0,1,discretionary,0,2.0,1,7,0.15,1,1,0,1,"Blood, Urine",1,0.08,1.0,no,,,yes,repeat_conviction,no,0
19,IA,Iowa,Midwest,West North Central,3241488,356,42,119,356,11.8,33,82,23,10.98,3.67,45.1,33.2,19.9,81.8,no,probable_cause,law_enforcement,0,not_authorized,0,1,mandatory_all,1,3.0,1,12,0.15,1,1,0,1,"Blood, Urine, and Breath",0,0.08,1.0,yes,repeat_or_suspended,mandatory,yes,repeat_conviction,yes,1
20,KS,Kansas,Midwest,West North Central,2970606,339,60,117,339,17.7,35,86,25,11.41,3.94,69.7,43.8,19.0,46.9,yes,all_fatally_injured,coroner,1,active,1,1,mandatory_all,1,3.0,1,10,0.15,1,1,0,1,"Blood, Urine, and Breath",1,0.08,1.0,no,,,no,,no,0
21,KY,Kentucky,South,East South Central,4588372,707,133,169,707,18.81,24,121,17,15.41,3.68,76.2,62.6,50.8,85.1,yes,all_fatally_injured,coroner,1,not_authorized,0,1,mandatory_all,1,4.0,1,10,0.15,1,1,0,1,"Blood, Urine, and Breath",0,0.08,1.0,no,,,no,,no,0
22,LA,Louisiana,South,West South Central,4597740,752,149,192,752,19.81,25,125,17,16.36,4.18,86.6,74.3,64.7,75.4,yes,all_fatally_injured,coroner,1,active,1,0,mandatory_all,1,3.0,1,10,0.15,1,0,0,1,"Blood, Urine, and Breath",1,0.08,0.0,yes,repeat_conviction,mandatory,yes,repeat_conviction,no,1
23,ME,Maine,Northeast,New England,1405012,177,29,49,177,16.38,28,36,20,12.6,3.49,75.7,51.0,21.4,91.6,yes,all_fatally_injured,medical_examiner,1,not_authorized,0,0,mandatory_all,1,3.0,1,10,0.15,1,1,0,1,"Blood, Urine, and Breath",1,0.08,0.0,yes,all_dui_arrest,mandatory,no,,no,1
24,MD,Maryland,South,South Atlantic,6263220,578,96,167,578,16.61,29,114,20,9.23,2.67,85.6,36.4,5.5,79.0,yes,all_fatally_injured,medical_examiner,1,authorized,0,1,mandatory_all,1,,0,5,0.15,1,1,0,1,Blood,0,0.08,0.0,yes,repeat_or_suspended,discretionary,no,,no,0
25,MA,Massachusetts,Northeast,New England,7136171,363,39,100,363,10.74,27,71,19,5.09,1.4,94.3,45.8,7.3,59.9,yes,all_fatally_injured,medical_examiner,1,not_authorized,0,0,mandatory_repeat,0,3.0,1,99,0.2,1,1,0,1,Blood and Breath,0,0.08,0.0,no,,,no,,no,0
26,MI,Michigan,Midwest,East North Central,10140459,1098,17,306,1098,1.55,28,207,19,10.83,3.02,54.7,47.7,41.6,68.3,no,probable_cause,law_enforcement,0,authorized,0,1,mandatory_high_bac_repeat,0,3.0,1,7,0.17,1,1,0,1,"Blood, Urine, and Breath",0,0.08,0.0,yes,repeat_conviction,mandatory,yes,repeat_conviction,no,1
27,MN,Minnesota,Midwest,West North Central,5793151,477,52,109,477,10.9,23,77,16,8.23,1.88,84.4,50.2,16.1,88.1,yes,all_fatally_injured,medical_examiner,0,not_authorized,0,1,mandatory_high_bac_repeat,0,4.0,1,10,0.16,1,1,0,1,"Blood, Urine, and Breath",1,0.08,0.0,yes,all_dui_arrest,mandatory,yes,repeat_conviction,yes,1
28,MS,Mississippi,South,East South Central,2943045,753,55,171,753,7.3,23,111,15,25.59,5.81,9.6,10.0,10.4,66.0,no,probable_cause,law_enforcement,1,authorized,0,0,mandatory_all,1,3.0,1,5,,0,0,0,1,"Blood, Urine, and Breath",0,0.08,0.0,no,,,no,,no,0
29,MO,Missouri,Midwest,West North Central,6245466,955,65,263,955,6.81,27,177,19,15.29,4.21,67.6,57.5,48.2,49.2,yes,all_fatally_injured,coroner,1,active,1,1,mandatory_repeat,0,3.0,1,5,0.15,1,0,1,1,"Blood, Oral Fluids, Urine and Breath",0,0.08,1.0,no,,,no,,no,0
30,MT,Montana,West,Mountain,1137233,206,109,75,206,52.91,37,57,27,18.11,6.59,88.6,86.8,84.3,77.0,yes,all_fatally_injured,coroner,0,not_authorized,0,1,mandatory_repeat,0,4.0,1,10,0.16,1,1,1,1,"Blood, Oral Fluids",0,0.08,0.0,no,,,no,,no,0
31,NE,Nebraska,Midwest,West North Central,2005465,251,38,75,251,15.14,30,57,23,12.52,3.74,74.3,72.1,69.9,89.1,yes,all_fatally_injured,coroner,1,authorized,0,1,mandatory_all,1,4.0,1,15,0.15,1,1,0,1,"Blood, Urine, and Breath",1,0.08,0.0,yes,repeat_or_suspended,mandatory,no,,no,1
32,NV,Nevada,West,Mountain,3267467,417,69,138,417,16.55,33,93,22,12.76,4.22,61.5,31.9,12.5,88.4,no,probable_cause,law_enforcement,1,not_authorized,0,1,mandatory_all,1,3.0,1,7,0.18,1,1,0,1,"Blood, Urine, and Breath",0,0.08,1.0,no,,,no,,no,0
33,NH,New Hampshire,Northeast,New England,1409032,133,15,39,133,11.28,29,23,18,9.44,2.77,93.5,69.2,47.1,99.3,yes,all_fatally_injured,medical_examiner,1,not_authorized,0,1,mandatory_all,1,4.0,1,10,0.16,1,1,0,1,"Blood, Urine, and Breath",0,0.08,1.0,no,,,no,,no,0
34,NJ,New Jersey,Northeast,Middle Atlantic,9500851,670,136,150,670,20.3,22,92,14,7.05,1.58,78.1,36.9,13.8,89.5,no,probable_cause,law_enforcement,1,authorized,0,0,mandatory_all,1,,0,10,0.1,1,1,0,1,Does Not Extend to Drugs,0,0.08,0.0,yes,repeat_conviction,mandatory,yes,repeat_conviction,no,1
35,NM,New Mexico,West,Mountain,2130256,409,61,115,409,14.91,28,72,18,19.2,5.4,15.8,9.6,5.5,68.4,no,probable_cause,law_enforcement,1,not_authorized,0,0,mandatory_all,1,4.0,1,5,0.16,1,1,0,1,Blood and Breath,0,0.08,1.0,yes,aggravated_or_repeat,mandatory,yes,repeat_conviction,no,1
36,NY,New York,Northeast,Middle Atlantic,19867248,1101,123,300,1101,11.17,27,187,17,5.54,1.51,28.2,16.2,7.9,61.9,no,probable_cause,law_enforcement,1,not_authorized,0,1,mandatory_all,1,2.0,1,10,0.18,1,1,1,1,"Blood, Oral Fluids, Urine and Breath",0,0.08,1.0,yes,repeat_conviction,mandatory,yes,repeat_conviction,no,1
37,NC,North Carolina,South,South Atlantic,11046024,1619,181,449,1619,11.18,28,299,18,14.66,4.06,41.9,26.8,13.8,47.2,no,probable_cause,law_enforcement,1,authorized,0,1,mandatory_high_bac_repeat,0,4.0,1,10,0.15,1,1,0,1,"Blood, Urine, and Breath",0,0.08,0.0,yes,dui_while_revoked,mandatory,yes,dui_while_revoked,no,1
38,ND,North Dakota,Midwest,West North Central,796568,90,13,27,90,14.44,30,19,21,11.3,3.39,74.3,47.6,14.3,65.0,yes,all_fatally_injured,coroner,1,authorized,0,1,discretionary,0,4.0,1,7,0.18,1,1,1,1,"Blood, Oral Fluids, Urine and Breath",1,0.08,1.0,no,,,no,,no,0
39,OH,Ohio,Midwest,East North Central,11883304,1157,132,424,1157,11.41,37,307,27,9.74,3.57,83.4,46.6,12.9,67.6,yes,all_fatally_injured,coroner,1,authorized,0,0,mandatory_repeat,0,4.0,1,10,0.17,1,0,1,1,"Blood, Oral Fluids, and Breath",0,0.08,1.0,yes,all_dui_conviction,mandatory,yes,repeat_conviction,yes,1
40,OK,Oklahoma,South,West South Central,4095393,645,82,225,645,12.71,35,151,23,15.75,5.49,55.7,33.6,13.0,71.6,yes,all_fatally_injured,medical_examiner,1,authorized,0,0,mandatory_all,1,2.0,1,10,0.15,1,1,1,1,"Blood, Urine, Oral Fluids",0,0.08,1.0,yes,repeat_conviction,discretionary,yes,repeat_conviction,no,0
41,OR,Oregon,West,Pacific,4272371,538,73,178,538,13.57,33,120,22,12.59,4.17,84.2,48.1,19.7,88.9,yes,all_fatally_injured,medical_examiner,0,not_authorized,0,0,mandatory_all,1,4.0,1,10,0.15,1,1,0,1,Blood and Breath,0,0.08,0.0,yes,repeat_or_suspended,mandatory,yes,repeat_conviction,no,1
42,PA,Pennsylvania,Northeast,Middle Atlantic,13078751,1127,205,290,1127,18.19,26,203,18,8.62,2.22,75.8,44.3,17.8,94.5,no,probable_cause,law_enforcement,1,authorized,0,1,mandatory_high_bac_repeat,0,4.0,1,10,0.16,1,1,0,1,Blood and Breath,0,0.08,0.0,no,,,no,,no,0
44,RI,Rhode Island,Northeast,New England,1112308,52,6,19,52,11.54,37,16,32,4.67,1.71,91.3,40.3,10.3,80.0,no,probable_cause,law_enforcement,0,not_authorized,0,1,mandatory_high_bac_repeat,0,3.0,1,5,0.15,1,1,1,1,"Blood, Oral Fluids, Urine and Breath",1,0.08,0.0,yes,repeat_conviction,mandatory,no,,no,1
45,SC,South Carolina,South,South Atlantic,5478831,1038,248,417,1038,23.89,40,286,28,18.95,7.61,76.4,41.3,9.4,98.0,yes,all_fatally_injured,coroner,1,not_authorized,0,0,mandatory_all,1,3.0,1,10,0.16,1,1,0,1,"Blood, Urine, and Breath",0,0.08,1.0,no,,,no,,no,0
46,SD,South Dakota,Midwest,West North Central,924669,146,7,43,146,4.79,30,33,23,15.79,4.65,83.8,85.9,88.9,86.7,yes,all_fatally_injured,coroner,1,authorized,0,1,discretionary,0,3.0,1,10,0.17,1,1,0,1,Blood and Breath,0,0.08,0.0,no,,,no,,no,0
47,TN,Tennessee,South,East South Central,7227750,1197,132,332,1197,11.03,28,220,18,16.56,4.59,59.3,45.8,33.8,81.4,no,probable_cause,law_enforcement,1,not_authorized,0,0,mandatory_all,1,4.0,1,10,0.15,1,0,0,1,Blood and Breath,1,0.08,0.0,no,,,yes,repeat_conviction,no,0
48,TX,Texas,South,West South Central,31290831,4160,826,1676,4160,19.86,40,1134,27,13.29,5.36,50.8,27.2,9.0,71.5,no,probable_cause,law_enforcement,0,active,1,0,mandatory_high_bac_repeat,0,3.0,1,99,0.15,1,1,0,1,Blood and Breath,0,0.08,1.0,yes,repeat_conviction,discretionary,yes,repeat_conviction,no,0
49,UT,Utah,West,Mountain,3503613,277,32,73,277,11.55,26,54,20,7.91,2.08,82.8,48.7,22.3,93.8,yes,all_fatally_injured,medical_examiner,1,active,1,1,mandatory_all,1,3.0,1,10,0.16,1,1,1,1,"Blood, Oral Fluids, Urine and Breath",0,0.05,0.0,yes,all_dui_arrest,mandatory,no,,no,1
50,VT,Vermont,Northeast,New England,648493,59,21,24,59,35.59,41,14,24,9.1,3.7,97.7,72.7,26.1,68.8,yes,all_fatally_injured,medical_examiner,1,not_authorized,0,1,mandatory_all,1,3.0,1,99,0.16,1,1,1,1,"Blood, Oral Fluids",1,0.08,0.0,no,,,no,,no,0
51,VA,Virginia,South,South Atlantic,8811195,917,82,252,917,8.94,27,171,19,10.41,2.86,86.2,43.0,1.8,56.4,yes,all_fatally_injured,medical_examiner,1,authorized,0,1,mandatory_all,1,3.0,1,10,0.15,1,0,0,1,Blood and Breath,1,0.08,1.0,yes,repeat_or_suspended,mandatory,yes,repeat_conviction,no,1
53,WA,Washington,West,Pacific,7958180,730,128,239,730,17.53,33,151,21,9.17,3.0,80.4,46.9,22.0,82.4,yes,all_fatally_injured,coroner,0,authorized,0,1,mandatory_all,1,4.0,1,10,0.15,1,1,0,1,Blood and Breath,0,0.08,0.0,yes,repeat_conviction,mandatory,yes,repeat_conviction,no,1
54,WV,West Virginia,South,South Atlantic,1769979,256,52,78,256,20.31,30,50,20,14.46,4.41,68.8,43.0,12.8,94.8,yes,all_fatally_injured,coroner,1,authorized,0,1,mandatory_all,1,3.0,1,10,0.15,1,1,0,1,Blood and Breath,1,0.08,0.0,no,,,no,,no,0
55,WI,Wisconsin,Midwest,East North Central,5960975,595,87,197,595,14.62,33,130,22,9.98,3.3,46.7,29.1,11.5,71.1,no,probable_cause,law_enforcement,0,authorized,0,1,mandatory_high_bac_repeat,0,4.0,1,10,0.17,1,1,0,1,"Blood, Urine, and Breath",0,0.08,1.0,yes,repeat_conviction,mandatory,no,,no,1
56,WY,Wyoming,West,Mountain,587618,107,24,34,107,22.43,32,27,25,18.21,5.79,53.8,38.8,18.6,85.2,no,probable_cause,law_enforcement,0,not_authorized,0,0,mandatory_high_bac_repeat,0,4.0,1,10,0.15,1,0,1,1,"Blood, Urine, Oral Fluids",0,0.08,0.0,no,,,no,,no,0
