state_fips,state_abbr,state_name,vehicle_impound_law,impound_trigger,impound_mandatory,impound_duration_days,vehicle_forfeiture_law,forfeiture_trigger,plate_impound_law,source_note
36,NY,New York,yes,repeat_conviction,mandatory,,yes,repeat_conviction,no,"NY VTL § 1193(2)(b); vehicle seizure/forfeiture for repeat DWI"
37,NC,North Carolina,yes,dui_while_revoked,mandatory,,yes,dui_while_revoked,no,"NCGS § 20-28.2; seizure/forfeiture for DWI while license revoked"
38,ND,North Dakota,no,,,,no,,no,"No statutory vehicle impound for DUI"
39,OH,Ohio,yes,all_dui_conviction,mandatory,,yes,repeat_conviction,yes,"ORC § 4510.11; mandatory plate impound all DUI; vehicle forfeiture repeat"
40,OK,Oklahoma,yes,repeat_conviction,discretionary,,yes,repeat_conviction,no,"47 OS § 11-902; vehicle seizure authorized for repeat DUI"
41,OR,Oregon,yes,repeat_or_suspended,mandatory,,yes,repeat_conviction,no,"ORS § 809.720; vehicle impound for driving suspended DUI; forfeiture repeat"
42,PA,Pennsylvania,no,,,,no,,no,"No statutory vehicle impound for DUI"
44,RI,Rhode Island,yes,repeat_conviction,mandatory,,no,,no,"RI Gen Laws § 31-27-2.8; vehicle impound for repeat DUI"
45,SC,South Carolina,no,,,,no,,no,"No statutory vehicle impound for DUI"
46,SD,South Dakota,no,,,,no,,no,"No statutory vehicle impound for DUI"
47,TN,Tennessee,no,,,,yes,repeat_conviction,no,"TN Code § 55-10-403; forfeiture for 3rd offense, no impound law"
48,TX,Texas,yes,repeat_conviction,discretionary,,yes,repeat_conviction,no,"TX CCP Art. 18.18; vehicle forfeiture for repeat intoxication offenses"
49,UT,Utah,yes,all_dui_arrest,mandatory,,no,,no,"UT Code § 41-6a-527; vehicle impound upon DUI arrest"
50,VT,Vermont,no,,,,no,,no,"No statutory vehicle impound for DUI"
51,VA,Virginia,yes,repeat_or_suspended,mandatory,,yes,repeat_conviction,no,"VA Code § 46.2-301.1; vehicle impound for driving while suspended DUI"
53,WA,Washington,yes,repeat_conviction,mandatory,,yes,repeat_conviction,no,"RCW § 46.20.720; vehicle seizure/forfeiture for repeat DUI"
54,WV,West Virginia,no,,,,no,,no,"No statutory vehicle impound for DUI"
55,WI,Wisconsin,yes,repeat_conviction,mandatory,,no,,no,"WI Stat § 346.65(6); vehicle immobilization for repeat OWI"
56,WY,Wyoming,no,,,,no,,no,"No statutory vehicle impound for DUI"
